x,y,z,vx,vy,vz
  6.01891500958553E+05,  1.40366619271711E+06,  2.42127827084693E+05,  4.74823817162783E-01,  1.33886814029792E+00,  2.09355564310151E-01
  6.02404022000480E+05,  1.40417272423689E+06,  2.43792836718358E+05,  4.75500266452681E-01,  1.33964736136390E+00,  2.11100352635940E-01
  6.02238714007823E+05,  1.40290957230184E+06,  2.42600561976194E+05,  4.75129639554167E-01,  1.33797371152313E+00,  2.09813391772105E-01
  6.00905145149180E+05,  1.40356750914152E+06,  2.42323391411504E+05,  4.73705831185214E-01,  1.33862855721440E+00,  2.09529376176688E-01
  6.01719089502182E+05,  1.40362146130000E+06,  2.42794231750702E+05,  4.74639205776634E-01,  1.33882098725612E+00,  2.10034428759082E-01
  6.01558525160532E+05,  1.40376604166927E+06,  2.42910951114178E+05,  4.74477493855344E-01,  1.33898904527361E+00,  2.10157264752405E-01
  6.00744602419865E+05,  1.40393878095783E+06,  2.44108618313234E+05,  4.73610925126884E-01,  1.33916170419007E+00,  2.11373715968622E-01
  5.99841992324100E+05,  1.40187331182384E+06,  2.43206400459032E+05,  4.72319114644807E-01,  1.33639288979214E+00,  2.10334630764549E-01
  6.03996319380328E+05,  1.40421869136794E+06,  2.42936265991465E+05,  4.77280734245112E-01,  1.33986253703926E+00,  2.10262682608833E-01
  6.01196568935496E+05,  1.40298091395851E+06,  2.44175911885305E+05,  4.74002924818474E-01,  1.33800735659931E+00,  2.11410404616527E-01
  6.02076902859062E+05,  1.40404591502086E+06,  2.43220547724238E+05,  4.75104369630518E-01,  1.33942020913928E+00,  2.10499387763764E-01
  6.02258022795953E+05,  1.40444512452079E+06,  2.42564720994997E+05,  4.75342921088831E-01,  1.33991672021456E+00,  2.09849001203353E-01
  6.02730509014379E+05,  1.40515269967386E+06,  2.43989264788183E+05,  4.75993621259281E-01,  1.34093596567067E+00,  2.11356881219043E-01
  6.01122102717125E+05,  1.40286955810058E+06,  2.42529569758061E+05,  4.73870724627272E-01,  1.33778077302828E+00,  2.09715563472930E-01
  6.00389056841512E+05,  1.40311560557998E+06,  2.42884168030155E+05,  4.73081024290855E-01,  1.33802084427261E+00,  2.10070303134517E-01
  6.02057829081362E+05,  1.40198142985843E+06,  2.42868452047936E+05,  4.74818738166769E-01,  1.33679077288251E+00,  2.10039199573060E-01
  6.01831532448550E+05,  1.40406495997795E+06,  2.43572042949915E+05,  4.74837623145794E-01,  1.33943217700111E+00,  2.10855480878234E-01
  6.00991680399597E+05,  1.40178187909428E+06,  2.43267745928983E+05,  4.73600945794357E-01,  1.33642418929677E+00,  2.10421060478727E-01
  6.01664113205371E+05,  1.40372704575563E+06,  2.43360513287758E+05,  4.74604937838661E-01,  1.33897200240277E+00,  2.10620373454764E-01
  6.01340058135154E+05,  1.40534574485774E+06,  2.42979656502910E+05,  4.74430778508395E-01,  1.34096355106362E+00,  2.10293819428411E-01
